drug.sdf	coformer_0.sdf	27
drug.sdf	coformer_1.sdf	243
drug.sdf	coformer_2.sdf	10
drug.sdf	coformer_3.sdf	281
drug.sdf	coformer_4.sdf	34
drug.sdf	coformer_5.sdf	270
drug.sdf	coformer_6.sdf	54
drug.sdf	coformer_7.sdf	256
drug.sdf	coformer_8.sdf	7
drug.sdf	coformer_9.sdf	101
drug.sdf	coformer_10.sdf	202
drug.sdf	coformer_11.sdf	146
drug.sdf	coformer_12.sdf	162
drug.sdf	coformer_13.sdf	330
drug.sdf	coformer_14.sdf	312
drug.sdf	coformer_15.sdf	109
drug.sdf	coformer_16.sdf	133
drug.sdf	coformer_17.sdf	161
drug.sdf	coformer_18.sdf	254
drug.sdf	coformer_19.sdf	346
drug.sdf	coformer_20.sdf	67
drug.sdf	coformer_21.sdf	287
drug.sdf	coformer_22.sdf	122
drug.sdf	coformer_23.sdf	303
drug.sdf	coformer_24.sdf	37
drug.sdf	coformer_25.sdf	275
drug.sdf	coformer_26.sdf	168
drug.sdf	coformer_27.sdf	137
drug.sdf	coformer_28.sdf	99
drug.sdf	coformer_29.sdf	115
drug.sdf	coformer_30.sdf	215
drug.sdf	coformer_31.sdf	156
drug.sdf	coformer_32.sdf	337
drug.sdf	coformer_33.sdf	191
drug.sdf	coformer_34.sdf	16
drug.sdf	coformer_35.sdf	143
drug.sdf	coformer_36.sdf	15
drug.sdf	coformer_37.sdf	170
drug.sdf	coformer_38.sdf	71
drug.sdf	coformer_39.sdf	49
drug.sdf	coformer_40.sdf	160
drug.sdf	coformer_41.sdf	284
drug.sdf	coformer_42.sdf	311
drug.sdf	coformer_43.sdf	231
drug.sdf	coformer_44.sdf	251
drug.sdf	coformer_45.sdf	329
drug.sdf	coformer_46.sdf	194
drug.sdf	coformer_47.sdf	127
drug.sdf	coformer_48.sdf	28
drug.sdf	coformer_49.sdf	87
drug.sdf	coformer_50.sdf	120
drug.sdf	coformer_51.sdf	75
drug.sdf	coformer_52.sdf	297
drug.sdf	coformer_53.sdf	280
drug.sdf	coformer_54.sdf	300
drug.sdf	coformer_55.sdf	83
drug.sdf	coformer_56.sdf	142
drug.sdf	coformer_57.sdf	265
drug.sdf	coformer_58.sdf	45
drug.sdf	coformer_59.sdf	344
drug.sdf	coformer_60.sdf	94
drug.sdf	coformer_61.sdf	292
drug.sdf	coformer_62.sdf	261
drug.sdf	coformer_63.sdf	220
drug.sdf	coformer_64.sdf	111
drug.sdf	coformer_65.sdf	345
drug.sdf	coformer_66.sdf	316
drug.sdf	coformer_67.sdf	128
drug.sdf	coformer_68.sdf	167
drug.sdf	coformer_69.sdf	24
drug.sdf	coformer_70.sdf	218
drug.sdf	coformer_71.sdf	232
drug.sdf	coformer_72.sdf	74
drug.sdf	coformer_73.sdf	276
drug.sdf	coformer_74.sdf	305
drug.sdf	coformer_75.sdf	193
drug.sdf	coformer_76.sdf	13
drug.sdf	coformer_77.sdf	68
drug.sdf	coformer_78.sdf	96
drug.sdf	coformer_79.sdf	6
drug.sdf	coformer_80.sdf	356
drug.sdf	coformer_81.sdf	245
drug.sdf	coformer_82.sdf	52
drug.sdf	coformer_83.sdf	285
drug.sdf	coformer_84.sdf	157
drug.sdf	coformer_85.sdf	65
drug.sdf	coformer_86.sdf	46
drug.sdf	coformer_87.sdf	100
drug.sdf	coformer_88.sdf	113
drug.sdf	coformer_89.sdf	0
drug.sdf	coformer_90.sdf	198
drug.sdf	coformer_91.sdf	64
drug.sdf	coformer_92.sdf	50
drug.sdf	coformer_93.sdf	343
drug.sdf	coformer_94.sdf	328
drug.sdf	coformer_95.sdf	177
drug.sdf	coformer_96.sdf	348
